##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	218_L8_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.5669565	32.0	32.0	32.0	27.0	32.0
2	31.3343875	32.0	32.0	32.0	32.0	32.0
3	34.6520105	37.0	32.0	37.0	27.0	37.0
4	35.490232	37.0	37.0	37.0	32.0	37.0
5	35.7617005	37.0	37.0	37.0	32.0	37.0
6	38.5097875	42.0	37.0	42.0	32.0	42.0
7	38.964764	42.0	37.0	42.0	32.0	42.0
8	39.4206415	42.0	37.0	42.0	32.0	42.0
9	39.54022	42.0	37.0	42.0	32.0	42.0
10-11	39.631107	42.0	39.5	42.0	32.0	42.0
12-13	39.65071475	42.0	42.0	42.0	32.0	42.0
14-15	39.9866645	42.0	42.0	42.0	37.0	42.0
16-17	40.027165499999995	42.0	42.0	42.0	37.0	42.0
18-19	39.8979375	42.0	42.0	42.0	37.0	42.0
20-21	39.92253975	42.0	42.0	42.0	37.0	42.0
22-23	40.03496825	42.0	42.0	42.0	37.0	42.0
24-25	39.97868875	42.0	42.0	42.0	37.0	42.0
26-27	40.02639875	42.0	42.0	42.0	37.0	42.0
28-29	39.956342	42.0	42.0	42.0	37.0	42.0
30-31	39.7953405	42.0	42.0	42.0	34.5	42.0
32-33	39.786072250000004	42.0	42.0	42.0	34.5	42.0
34-35	39.77140225	42.0	42.0	42.0	34.5	42.0
36-37	39.704541750000004	42.0	42.0	42.0	32.0	42.0
38-39	39.71522725	42.0	42.0	42.0	34.5	42.0
40-41	39.815107499999996	42.0	42.0	42.0	37.0	42.0
42-43	39.824301500000004	42.0	42.0	42.0	34.5	42.0
44-45	39.68939675	42.0	42.0	42.0	32.0	42.0
46-47	39.5184055	42.0	39.5	42.0	32.0	42.0
48-49	39.41652275	42.0	37.0	42.0	32.0	42.0
50-51	39.50493375	42.0	37.0	42.0	32.0	42.0
52-53	39.4410005	42.0	37.0	42.0	32.0	42.0
54-55	39.399411	42.0	37.0	42.0	32.0	42.0
56-57	39.259739249999996	42.0	37.0	42.0	32.0	42.0
58-59	39.2853565	42.0	37.0	42.0	32.0	42.0
60-61	39.226973	42.0	37.0	42.0	32.0	42.0
62-63	39.123094	42.0	37.0	42.0	32.0	42.0
64-65	39.197072000000006	42.0	37.0	42.0	32.0	42.0
66-67	39.157834	42.0	37.0	42.0	32.0	42.0
68-69	39.1843105	42.0	37.0	42.0	32.0	42.0
70-71	39.021531499999995	42.0	37.0	42.0	32.0	42.0
72-73	38.99476475	42.0	37.0	42.0	32.0	42.0
74-75	38.9594235	42.0	37.0	42.0	32.0	42.0
76-77	38.17855475	42.0	37.0	42.0	32.0	42.0
78-79	38.42846725	42.0	37.0	42.0	32.0	42.0
80-81	38.975064	42.0	37.0	42.0	32.0	42.0
82-83	38.949681749999996	42.0	37.0	42.0	32.0	42.0
84-85	38.934706000000006	42.0	37.0	42.0	32.0	42.0
86-87	39.04428675	42.0	37.0	42.0	32.0	42.0
88-89	38.81119025	42.0	37.0	42.0	32.0	42.0
90-91	38.536657000000005	42.0	37.0	42.0	32.0	42.0
92-93	38.47334975	42.0	37.0	42.0	32.0	42.0
94-95	38.493784250000004	42.0	37.0	42.0	32.0	42.0
96-97	38.465359250000006	42.0	37.0	42.0	32.0	42.0
98-99	38.436738500000004	42.0	37.0	42.0	32.0	42.0
100	38.2751835	42.0	37.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.05249921762954557
1101	2	-0.2095008651141228
1101	3	-0.10269077750793087
1101	4	-0.13402448902232322
1101	5	-0.03205762804966383
1101	6	0.14656940599198975
1101	7	0.0960784202386904
1101	8	-0.130209030772086
1101	9	-0.04485917872443679
1101	10-11	-0.16037014494381197
1101	12-13	-0.08695485830266136
1101	14-15	-0.11207976204273251
1101	16-17	-0.21083506771172722
1101	18-19	-0.19894331078243965
1101	20-21	-0.35938732176013843
1101	22-23	-0.2880804941146877
1101	24-25	-0.08529039169377484
1101	26-27	0.029620004973644143
1101	28-29	-0.07434585628454471
1101	30-31	-0.07864653273351507
1101	32-33	-0.014866363257652893
1101	34-35	-0.11942701046585569
1101	36-37	-0.0067541143085492195
1101	38-39	-0.09121005107378011
1101	40-41	-0.1925303142229282
1101	42-43	-0.16446791316956677
1101	44-45	0.021321852034795086
1101	46-47	0.0837422838227937
1101	48-49	-0.25766156890543357
1101	50-51	0.025190504204353203
1101	52-53	-0.11813392765712649
1101	54-55	-0.07456825507925657
1101	56-57	-0.058452054002891884
1101	58-59	0.048797509612043655
1101	60-61	0.04938993740491071
1101	62-63	-0.003754219377938739
1101	64-65	-0.09600891731337668
1101	66-67	-0.05127483813095779
1101	68-69	-0.13339278455953973
1101	70-71	-0.07810417225950061
1101	72-73	-0.05522650551912278
1101	74-75	-0.015493694605581254
1101	76-77	-0.16806807087840525
1101	78-79	-0.18262893827699855
1101	80-81	-0.146499651830581
1101	82-83	-0.19187616241256222
1101	84-85	-0.1979683766670277
1101	86-87	-0.045145492114819774
1101	88-89	-0.13157831674639908
1101	90-91	-0.3857691993329837
1101	92-93	-0.3294450891519176
1101	94-95	-0.14653453343691325
1101	96-97	-0.08555530364643005
1101	98-99	-0.27394774776169584
1101	100	-0.06186676445626205
1102	1	-0.17212058114844453
1102	2	-0.18690399827544013
1102	3	-0.18159037630848474
1102	4	-0.08791781516818986
1102	5	-0.040532657232674296
1102	6	-0.028486524510014988
1102	7	0.10750906908131697
1102	8	-0.06574470649160702
1102	9	-0.11056099646815909
1102	10-11	-0.21859644498560726
1102	12-13	-0.2747602909899669
1102	14-15	-0.2785983413986699
1102	16-17	-0.033957559573011054
1102	18-19	-0.2513156554362226
1102	20-21	-0.3757008830822315
1102	22-23	-0.3116538946423333
1102	24-25	-0.22949322574562814
1102	26-27	-0.2482277336950034
1102	28-29	-0.3309950693336958
1102	30-31	-0.30733948553201174
1102	32-33	-0.3208783054160449
1102	34-35	-0.3604489615783848
1102	36-37	-0.1382587673114628
1102	38-39	-0.17805520085553184
1102	40-41	-0.2750979469907975
1102	42-43	-0.12499803549452082
1102	44-45	-0.1847369190951511
1102	46-47	-0.26274053096573624
1102	48-49	-0.10151399804916394
1102	50-51	-0.16695584635005645
1102	52-53	-0.20385870135829975
1102	54-55	-0.16633451840154834
1102	56-57	-0.003129577258917493
1102	58-59	-0.21117408153968853
1102	60-61	-0.19424778617019456
1102	62-63	-0.10773280353622283
1102	64-65	-0.06448331585939826
1102	66-67	-0.08095765019657364
1102	68-69	-0.0885461998538446
1102	70-71	-0.06294855551545453
1102	72-73	-0.2231255537645893
1102	74-75	-0.10182166746019305
1102	76-77	-0.13483524772527744
1102	78-79	-0.12678076907979374
1102	80-81	0.014486648383332579
1102	82-83	-0.07761265298957909
1102	84-85	-0.11697773777330411
1102	86-87	0.032857182890644765
1102	88-89	-0.10764194352437073
1102	90-91	0.023164682487575305
1102	92-93	-0.0660772416078359
1102	94-95	0.10384926890218793
1102	96-97	-0.2829065961343886
1102	98-99	0.058576006927701485
1102	100	-0.06556320919843017
1103	1	0.08479007018932805
1103	2	0.03567832176896957
1103	3	0.0590691924123945
