##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	221_L8_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.1635695	32.0	32.0	32.0	27.0	32.0
2	31.121883	32.0	32.0	32.0	27.0	32.0
3	34.841024	37.0	37.0	37.0	32.0	37.0
4	35.6148635	37.0	37.0	37.0	32.0	37.0
5	36.056859	37.0	37.0	37.0	32.0	37.0
6	39.9209415	42.0	42.0	42.0	37.0	42.0
7	38.8784815	42.0	37.0	42.0	32.0	42.0
8	39.4142405	42.0	37.0	42.0	32.0	42.0
9	39.6325525	42.0	42.0	42.0	32.0	42.0
10-11	39.923891999999995	42.0	42.0	42.0	37.0	42.0
12-13	39.762479	42.0	42.0	42.0	34.5	42.0
14-15	40.04940125	42.0	42.0	42.0	37.0	42.0
16-17	40.086025750000005	42.0	42.0	42.0	37.0	42.0
18-19	40.021651500000004	42.0	42.0	42.0	37.0	42.0
20-21	40.0138715	42.0	42.0	42.0	37.0	42.0
22-23	40.093661	42.0	42.0	42.0	37.0	42.0
24-25	39.979949	42.0	42.0	42.0	37.0	42.0
26-27	40.0281585	42.0	42.0	42.0	37.0	42.0
28-29	39.967333249999996	42.0	42.0	42.0	37.0	42.0
30-31	39.8697595	42.0	42.0	42.0	37.0	42.0
32-33	39.8177485	42.0	42.0	42.0	34.5	42.0
34-35	39.8033315	42.0	42.0	42.0	34.5	42.0
36-37	39.70547775	42.0	42.0	42.0	32.0	42.0
38-39	39.7377005	42.0	42.0	42.0	34.5	42.0
40-41	39.81713	42.0	42.0	42.0	37.0	42.0
42-43	39.8199495	42.0	42.0	42.0	34.5	42.0
44-45	39.678087500000004	42.0	42.0	42.0	32.0	42.0
46-47	39.494740500000006	42.0	39.5	42.0	32.0	42.0
48-49	39.38998925	42.0	37.0	42.0	32.0	42.0
50-51	39.47745725	42.0	37.0	42.0	32.0	42.0
52-53	39.419067999999996	42.0	37.0	42.0	32.0	42.0
54-55	39.367960999999994	42.0	37.0	42.0	32.0	42.0
56-57	39.2362765	42.0	37.0	42.0	32.0	42.0
58-59	39.278442999999996	42.0	37.0	42.0	32.0	42.0
60-61	39.211603499999995	42.0	37.0	42.0	32.0	42.0
62-63	39.09901325	42.0	37.0	42.0	32.0	42.0
64-65	39.171896000000004	42.0	37.0	42.0	32.0	42.0
66-67	39.11838375	42.0	37.0	42.0	32.0	42.0
68-69	39.14493775	42.0	37.0	42.0	32.0	42.0
70-71	38.97664525	42.0	37.0	42.0	32.0	42.0
72-73	38.950598	42.0	37.0	42.0	32.0	42.0
74-75	38.92928325	42.0	37.0	42.0	32.0	42.0
76-77	38.14361475	42.0	37.0	42.0	32.0	42.0
78-79	38.407271	42.0	37.0	42.0	32.0	42.0
80-81	38.9505475	42.0	37.0	42.0	32.0	42.0
82-83	38.9103375	42.0	37.0	42.0	32.0	42.0
84-85	38.86186375	42.0	37.0	42.0	32.0	42.0
86-87	38.98192575	42.0	37.0	42.0	32.0	42.0
88-89	38.751999999999995	42.0	37.0	42.0	32.0	42.0
90-91	38.49508125	42.0	37.0	42.0	32.0	42.0
92-93	38.41244925	42.0	37.0	42.0	32.0	42.0
94-95	38.408508	42.0	37.0	42.0	32.0	42.0
96-97	38.4094805	42.0	37.0	42.0	32.0	42.0
98-99	38.396316	42.0	37.0	42.0	32.0	42.0
100	38.2046515	42.0	37.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1074856367325836
1101	2	-0.10186605430896378
1101	3	0.002523879512573046
1101	4	-0.30727319163323585
1101	5	-0.010854587385679793
1101	6	-0.013456248936300597
1101	7	0.3304362843221611
1101	8	0.07561923805424442
1101	9	0.060614702373186446
1101	10-11	-0.0832573862477517
1101	12-13	-0.13991246009875624
1101	14-15	-0.098934398435361
1101	16-17	-0.22865008077296523
1101	18-19	-0.17486841900080918
1101	20-21	-0.35902702806295395
1101	22-23	-0.3245980890424107
1101	24-25	-0.07991429689391794
1101	26-27	0.021858016190613228
1101	28-29	-0.04351294328265709
1101	30-31	5.772452826846575E-5
1101	32-33	0.055713395456223225
1101	34-35	-0.15134379205692028
1101	36-37	0.04109646835635772
1101	38-39	-0.07003552613613806
1101	40-41	-0.13095745085168886
1101	42-43	-0.06694733321539559
1101	44-45	0.03058255867282611
1101	46-47	0.10567750079479765
1101	48-49	-0.1348259008085506
1101	50-51	0.033909235732984655
1101	52-53	-0.074004679049132
1101	54-55	0.06624058898614038
1101	56-57	0.050610471737400076
1101	58-59	0.12960688775919493
1101	60-61	0.14629636099046905
1101	62-63	0.06953713800309202
1101	64-65	0.03167472979271224
1101	66-67	0.019218367786045576
1101	68-69	-0.07101245727025685
1101	70-71	-0.05525290702210839
1101	72-73	-0.04420812845130939
1101	74-75	-0.035800912828079845
1101	76-77	-0.045430650674710193
1101	78-79	0.008545418457543974
1101	80-81	0.020250372559758034
1101	82-83	-0.034211254568923266
1101	84-85	-0.011305860856339223
1101	86-87	0.09256639854501003
1101	88-89	-0.05300234420482752
1101	90-91	-0.20436948962191792
1101	92-93	-0.1389325116580622
1101	94-95	-0.07943239380062295
1101	96-97	0.030824202725540317
1101	98-99	-0.3063743537232142
1101	100	-0.015120440403840973
1102	1	-0.09733009810831206
1102	2	-0.019759384755889897
1102	3	-0.00559147801548221
1102	4	-0.17179615210329757
1102	5	-0.06584831659954915
1102	6	-0.18391816557034701
1102	7	0.28131374626523353
1102	8	0.1288124933702406
1102	9	-0.02034789385578506
1102	10-11	-0.1711631915558769
1102	12-13	-0.051963479095775256
1102	14-15	-0.17004554047463927
1102	16-17	-0.0362080322477496
1102	18-19	-0.23128754292115872
1102	20-21	-0.2836931719891638
1102	22-23	-0.22284916382308495
1102	24-25	-0.09605197879784555
1102	26-27	-0.18076337776634688
1102	28-29	-0.19972342783756858
1102	30-31	-0.1980639393260688
1102	32-33	-0.2248830156785715
1102	34-35	-0.3598477052625526
1102	36-37	-0.1164254373010607
1102	38-39	-0.15109175762189864
1102	40-41	-0.19651678358637525
1102	42-43	-0.09470561245459663
1102	44-45	-0.2070136790878152
1102	46-47	-0.26636914020913594
1102	48-49	0.0581108006175981
1102	50-51	-0.008434776843557756
1102	52-53	-0.10318308324752934
1102	54-55	0.012311359379609144
1102	56-57	0.13909293339503392
1102	58-59	-0.08576898370594677
1102	60-61	-0.12013499076834222
1102	62-63	-0.07425153449556632
1102	64-65	0.030635166906577638
1102	66-67	0.043610477393976055
1102	68-69	-0.05185940359343988
1102	70-71	-0.0403966528865638
1102	72-73	-0.20894636955374324
1102	74-75	-0.11355372144086573
1102	76-77	0.01637247653292917
1102	78-79	0.02159805496326328
1102	80-81	0.2019919514636399
1102	82-83	0.026886376562991643
1102	84-85	-0.02089294317438828
1102	86-87	0.1297862985557927
1102	88-89	0.010744318017700039
1102	90-91	0.0050718045248530075
1102	92-93	0.03877508902365889
1102	94-95	0.1673998140464832
1102	96-97	-0.16285921496335476
1102	98-99	0.05495777210445851
1102	100	0.04241790004478929
1103	1	0.18543714390728994
1103	2	-0.002730967616379587
1103	3	0.133728179368795
1103	4	0.07799551509721425
1103	5	-0.027500681316382725
