##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	216_L8_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.785867	32.0	32.0	32.0	27.0	32.0
2	31.0546895	32.0	32.0	32.0	27.0	32.0
3	35.0158345	37.0	37.0	37.0	32.0	37.0
4	35.672627	37.0	37.0	37.0	32.0	37.0
5	36.019348	37.0	37.0	37.0	32.0	37.0
6	39.6154005	42.0	37.0	42.0	32.0	42.0
7	39.4266505	42.0	37.0	42.0	32.0	42.0
8	39.536953	42.0	37.0	42.0	32.0	42.0
9	39.7783505	42.0	42.0	42.0	37.0	42.0
10-11	39.77784125	42.0	42.0	42.0	34.5	42.0
12-13	39.854186999999996	42.0	42.0	42.0	37.0	42.0
14-15	40.036064249999995	42.0	42.0	42.0	37.0	42.0
16-17	40.042002499999995	42.0	42.0	42.0	37.0	42.0
18-19	40.04687525	42.0	42.0	42.0	37.0	42.0
20-21	40.010076	42.0	42.0	42.0	37.0	42.0
22-23	40.0248105	42.0	42.0	42.0	37.0	42.0
24-25	39.99368175	42.0	42.0	42.0	37.0	42.0
26-27	39.932781750000004	42.0	42.0	42.0	37.0	42.0
28-29	39.821025250000005	42.0	42.0	42.0	37.0	42.0
30-31	39.72569824999999	42.0	42.0	42.0	32.0	42.0
32-33	39.598149	42.0	42.0	42.0	32.0	42.0
34-35	39.5605225	42.0	42.0	42.0	32.0	42.0
36-37	39.67828725	42.0	42.0	42.0	34.5	42.0
38-39	39.6557865	42.0	42.0	42.0	32.0	42.0
40-41	39.653780749999996	42.0	42.0	42.0	32.0	42.0
42-43	39.680341	42.0	42.0	42.0	32.0	42.0
44-45	39.691978750000004	42.0	42.0	42.0	32.0	42.0
46-47	39.54590625	42.0	39.5	42.0	32.0	42.0
48-49	39.4273225	42.0	37.0	42.0	32.0	42.0
50-51	39.54500675	42.0	42.0	42.0	32.0	42.0
52-53	39.491035749999995	42.0	39.5	42.0	32.0	42.0
54-55	39.45624025	42.0	37.0	42.0	32.0	42.0
56-57	39.329021	42.0	37.0	42.0	32.0	42.0
58-59	39.36676175	42.0	37.0	42.0	32.0	42.0
60-61	39.311657749999995	42.0	37.0	42.0	32.0	42.0
62-63	39.1915655	42.0	37.0	42.0	32.0	42.0
64-65	39.255964250000005	42.0	37.0	42.0	32.0	42.0
66-67	39.206233499999996	42.0	37.0	42.0	32.0	42.0
68-69	39.234451	42.0	37.0	42.0	32.0	42.0
70-71	39.0558695	42.0	37.0	42.0	32.0	42.0
72-73	39.033381500000004	42.0	37.0	42.0	32.0	42.0
74-75	38.99862375	42.0	37.0	42.0	32.0	42.0
76-77	38.28791775	42.0	37.0	42.0	32.0	42.0
78-79	38.535429	42.0	37.0	42.0	32.0	42.0
80-81	39.056031000000004	42.0	37.0	42.0	32.0	42.0
82-83	39.011441250000004	42.0	37.0	42.0	32.0	42.0
84-85	38.99204775	42.0	37.0	42.0	32.0	42.0
86-87	39.10840325	42.0	37.0	42.0	32.0	42.0
88-89	38.8721305	42.0	37.0	42.0	32.0	42.0
90-91	38.5942905	42.0	37.0	42.0	32.0	42.0
92-93	38.518017	42.0	37.0	42.0	32.0	42.0
94-95	38.5311195	42.0	37.0	42.0	32.0	42.0
96-97	38.52440575	42.0	37.0	42.0	32.0	42.0
98-99	38.5027325	42.0	37.0	42.0	32.0	42.0
100	38.313432	42.0	37.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.28263395025423677
1101	2	-0.13284641050315926
1101	3	-0.16933755590997634
1101	4	-0.2741134596645125
1101	5	-0.047174849408278874
1101	6	-0.002697834525719145
1101	7	-3.7515595138870594E-5
1101	8	-0.09408796258651364
1101	9	-0.001914351545813986
1101	10-11	-0.0846700281471442
1101	12-13	-0.24143630295635887
1101	14-15	-0.163783412100166
1101	16-17	-0.2603336438474244
1101	18-19	-0.22214190176037363
1101	20-21	-0.39397981834768814
1101	22-23	-0.3841870115060786
1101	24-25	-0.15158347669983385
1101	26-27	-0.06119954630312918
1101	28-29	-0.015122561300337622
1101	30-31	0.011368088249227526
1101	32-33	0.08743331486372341
1101	34-35	-0.04885521576594698
1101	36-37	0.03509892041098084
1101	38-39	-0.013511944118100416
1101	40-41	-0.10677852077138539
1101	42-43	-0.01644066623337892
1101	44-45	0.0855644928463235
1101	46-47	0.15772271917646918
1101	48-49	-0.09216225608639661
1101	50-51	0.05172381308767626
1101	52-53	-0.06112776760170391
1101	54-55	-0.07799979753277597
1101	56-57	-0.033546583359971294
1101	58-59	0.056043984056238116
1101	60-61	-0.04046070402922197
1101	62-63	-0.11366293272642736
1101	64-65	-0.08475758086114382
1101	66-67	-0.025454589470456312
1101	68-69	0.02561646069346324
1101	70-71	0.06242231007246346
1101	72-73	-0.04357177127025835
1101	74-75	-0.03482979039893053
1101	76-77	-0.10253587510020878
1101	78-79	-0.0783676357342813
1101	80-81	-0.04797742246431369
1101	82-83	-0.0799299095387056
1101	84-85	-0.2154713099472616
1101	86-87	-0.03202741173736001
1101	88-89	-0.1565159087261776
1101	90-91	-0.30715351737975993
1101	92-93	-0.19279547959934007
1101	94-95	-0.18916305768620845
1101	96-97	-0.12242611510367851
1101	98-99	-0.34527862505043316
1101	100	-0.10824242941667706
1102	1	-0.4509582879416847
1102	2	-0.048746046107030594
1102	3	-0.15325081143419084
1102	4	-0.20569077325168195
1102	5	-0.1588144339144435
1102	6	-0.15575769909914783
1102	7	-0.0515217052580752
1102	8	-0.19508038752886137
1102	9	-0.259637602258465
1102	10-11	-0.18011824358364237
1102	12-13	-0.1482702416076478
1102	14-15	-0.19084523227760286
1102	16-17	-0.11875521350119556
1102	18-19	-0.301443526971255
1102	20-21	-0.3536322417058031
1102	22-23	-0.4073228279498622
1102	24-25	-0.20834192211739122
1102	26-27	-0.19472927574911125
1102	28-29	-0.23384646228056027
1102	30-31	-0.24241621625768062
1102	32-33	-0.3354107028243405
1102	34-35	-0.2842113937025701
1102	36-37	-0.18372243331594973
1102	38-39	-0.2704099402216329
1102	40-41	-0.1895832668708266
1102	42-43	-0.06771064467424992
1102	44-45	-0.2174897839139831
1102	46-47	-0.3012418798426424
1102	48-49	-0.03574238915368966
1102	50-51	-0.1234115093223096
1102	52-53	-0.1625112591064095
1102	54-55	-0.07923782007090097
1102	56-57	0.011021012615366033
1102	58-59	-0.13175356598853938
1102	60-61	-0.2035761612663194
1102	62-63	-0.16509826543615702
1102	64-65	-0.10512413517489705
1102	66-67	-0.01500353573023716
1102	68-69	-0.015165911693706846
1102	70-71	-0.15217945623898288
1102	72-73	-0.2217719082344587
1102	74-75	-0.07576434857929826
1102	76-77	-0.05622406881947484
1102	78-79	-0.022262536552950962
1102	80-81	-0.021191843960124856
1102	82-83	-0.009831441684319486
1102	84-85	-0.03593247840268532
1102	86-87	0.04940112820855802
1102	88-89	-0.06943899673231613
1102	90-91	0.06059001218274318
1102	92-93	0.05408452581510659
1102	94-95	0.10629412356370693
1102	96-97	-0.23798227146048134
1102	98-99	0.03424169529368015
1102	100	0.05111263951531697
1103	1	-0.15178244542872577
1103	2	0.05902064929974671
1103	3	0.0640332893680764
