##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	221_L8_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.219309	32.0	32.0	32.0	32.0	32.0
2	31.6429935	32.0	32.0	32.0	32.0	32.0
3	35.686475	37.0	37.0	37.0	32.0	37.0
4	36.139701	37.0	37.0	37.0	32.0	37.0
5	36.398794	37.0	37.0	37.0	37.0	37.0
6	40.4511	42.0	42.0	42.0	37.0	42.0
7	40.544114	42.0	42.0	42.0	37.0	42.0
8	40.794966	42.0	42.0	42.0	37.0	42.0
9	40.866218	42.0	42.0	42.0	37.0	42.0
10-11	40.8800275	42.0	42.0	42.0	37.0	42.0
12-13	40.89161675	42.0	42.0	42.0	37.0	42.0
14-15	40.883773	42.0	42.0	42.0	37.0	42.0
16-17	40.844535	42.0	42.0	42.0	37.0	42.0
18-19	40.827681749999996	42.0	42.0	42.0	37.0	42.0
20-21	40.799558250000004	42.0	42.0	42.0	37.0	42.0
22-23	40.8025515	42.0	42.0	42.0	37.0	42.0
24-25	40.76412525	42.0	42.0	42.0	37.0	42.0
26-27	40.691536	42.0	42.0	42.0	37.0	42.0
28-29	40.649378	42.0	42.0	42.0	37.0	42.0
30-31	40.615992	42.0	42.0	42.0	37.0	42.0
32-33	40.6206435	42.0	42.0	42.0	37.0	42.0
34-35	40.603812500000004	42.0	42.0	42.0	37.0	42.0
36-37	40.5754185	42.0	42.0	42.0	37.0	42.0
38-39	40.525116	42.0	42.0	42.0	37.0	42.0
40-41	40.518385	42.0	42.0	42.0	37.0	42.0
42-43	40.49892025	42.0	42.0	42.0	37.0	42.0
44-45	40.479659	42.0	42.0	42.0	37.0	42.0
46-47	40.43331175	42.0	42.0	42.0	37.0	42.0
48-49	40.3912125	42.0	42.0	42.0	37.0	42.0
50-51	40.38810275	42.0	42.0	42.0	37.0	42.0
52-53	40.349778	42.0	42.0	42.0	37.0	42.0
54-55	40.326116	42.0	42.0	42.0	37.0	42.0
56-57	40.2853205	42.0	42.0	42.0	37.0	42.0
58-59	40.243218999999996	42.0	42.0	42.0	37.0	42.0
60-61	40.188824	42.0	42.0	42.0	37.0	42.0
62-63	40.186338750000004	42.0	42.0	42.0	37.0	42.0
64-65	40.158904	42.0	42.0	42.0	37.0	42.0
66-67	40.08222025	42.0	42.0	42.0	37.0	42.0
68-69	39.99177575	42.0	42.0	42.0	37.0	42.0
70-71	39.97242975	42.0	42.0	42.0	37.0	42.0
72-73	39.90465775	42.0	42.0	42.0	37.0	42.0
74-75	39.862091500000005	42.0	42.0	42.0	37.0	42.0
76-77	39.25429175	42.0	39.5	42.0	34.5	42.0
78-79	39.48785625	42.0	39.5	42.0	32.0	42.0
80-81	39.814522	42.0	42.0	42.0	37.0	42.0
82-83	39.73197125	42.0	42.0	42.0	32.0	42.0
84-85	39.832269249999996	42.0	42.0	42.0	37.0	42.0
86-87	39.811417750000004	42.0	42.0	42.0	37.0	42.0
88-89	39.773322	42.0	42.0	42.0	37.0	42.0
90-91	39.722127	42.0	42.0	42.0	32.0	42.0
92-93	39.627325	42.0	42.0	42.0	32.0	42.0
94-95	39.69624675	42.0	42.0	42.0	32.0	42.0
96-97	39.62663275	42.0	42.0	42.0	32.0	42.0
98-99	39.58102825	42.0	42.0	42.0	32.0	42.0
100	39.524525	42.0	42.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.04742841907210149
1101	2	0.05246620641428379
1101	3	0.0684164334764219
1101	4	0.0334261759608907
1101	5	0.005286683386650282
1101	6	-0.0274151964722833
1101	7	-0.07658832130719873
1101	8	0.011569379246886058
1101	9	9.801415222980836E-4
1101	10-11	-0.03791108384653086
1101	12-13	0.003496264592506293
1101	14-15	0.010447137560049669
1101	16-17	-0.13167114474789798
1101	18-19	-0.11566471267674672
1101	20-21	-0.1559576206368405
1101	22-23	-0.10947727514858485
1101	24-25	-0.11500385209190966
1101	26-27	-0.12616257641028028
1101	28-29	-0.09776493827885702
1101	30-31	-0.23356198848199483
1101	32-33	-0.20376820482033509
1101	34-35	-0.10762751331392195
1101	36-37	-0.1795921003347587
1101	38-39	-0.2216072225280712
1101	40-41	-0.38118417625344136
1101	42-43	-0.3328764481387907
1101	44-45	-0.16701271075398694
1101	46-47	-0.24621027132133833
1101	48-49	-0.11289135870283928
1101	50-51	-0.1904308584231913
1101	52-53	-0.20628539420665248
1101	54-55	-0.18791544158865747
1101	56-57	-0.33988660216009237
1101	58-59	-0.3120254869390706
1101	60-61	-0.19502415663343697
1101	62-63	-0.3219896541893661
1101	64-65	-0.3984803819312148
1101	66-67	-0.436276016540063
1101	68-69	-0.8345430641131415
1101	70-71	-0.9301246079185859
1101	72-73	-0.8722201941602634
1101	74-75	-0.7658784759717108
1101	76-77	-1.1374427108635743
1101	78-79	-1.2001416440864077
1101	80-81	-1.000972895790305
1101	82-83	-1.0802472760600494
1101	84-85	-0.6180047728573328
1101	86-87	-0.9002233822151027
1101	88-89	-0.8014396862897044
1101	90-91	-1.1027394350372433
1101	92-93	-1.040772148662505
1101	94-95	-0.7892629128368398
1101	96-97	-0.6864176355150207
1101	98-99	-1.1332259139480456
1101	100	-1.0098567750224348
1102	1	0.009279881957677816
1102	2	0.013472452988345651
1102	3	0.016818829929434287
1102	4	-0.001732618788544471
1102	5	0.04465255876461782
1102	6	0.04998421937116859
1102	7	0.07410684254714539
1102	8	-0.03445208570725811
1102	9	-0.07379849951954043
1102	10-11	0.006982580592605814
1102	12-13	0.021637798537831543
1102	14-15	-0.025377265167918495
1102	16-17	-0.04129536253277166
1102	18-19	0.03953489154977774
1102	20-21	0.026232376994919093
1102	22-23	0.007274498025466869
1102	24-25	-0.031592986691450164
1102	26-27	-0.16305895443358054
1102	28-29	-0.03665645860755262
1102	30-31	-0.07034080052153513
1102	32-33	-0.0599106632786075
1102	34-35	-0.009409126951460678
1102	36-37	0.05170560120183154
1102	38-39	-0.03510479194904548
1102	40-41	0.04850921066770297
1102	42-43	0.0024086383154866553
1102	44-45	-0.09245705088928702
1102	46-47	0.01063554334359651
1102	48-49	-0.1334636155326976
1102	50-51	-0.0796742939672086
1102	52-53	-0.16826836099806286
1102	54-55	-0.20761548863913504
1102	56-57	-0.06751837656008775
1102	58-59	-0.1473575855068603
1102	60-61	-0.14237009930154443
1102	62-63	0.003476289245597286
1102	64-65	-0.042325236649610076
1102	66-67	-0.2041112843892705
1102	68-69	-0.17329182917264774
1102	70-71	-0.08457458126986239
1102	72-73	-0.1406186589235645
1102	74-75	-0.14131641514907045
1102	76-77	-0.3288895817350621
1102	78-79	-0.3137129782469259
1102	80-81	-0.4535544256276651
1102	82-83	-0.24403208187497683
1102	84-85	-0.36035106170894693
1102	86-87	-0.29379082923099276
1102	88-89	-0.37321344709797444
1102	90-91	-0.32168182244078736
1102	92-93	-0.19987601220569218
1102	94-95	-0.29006250240824727
1102	96-97	-0.22453719701194075
1102	98-99	-0.30907988502018924
1102	100	-0.4449133739731508
1103	1	-0.07565693336495727
1103	2	-0.04135750808544714
1103	3	0.07138563854287128
1103	4	0.04945054982452746
1103	5	-0.02169481182859556
1103	6	7.156816158442325E-4
1103	7	0.02811892271925842
1103	8	-0.005779008901100724
1103	9	0.035757345412946506
1103	10-11	-0.001560558970901127
1103	12-13	0.0879550372850062
1103	14-15	0.08624826125382867
1103	16-17	0.02595705877987342
1103	18-19	0.035232277977669924
1103	20-21	0.026732514389507855
1103	22-23	0.0030542558864112834
1103	24-25	-0.06500481255419999
1103	26-27	0.011982652083702305
1103	28-29	-0.10829019705016663
1103	30-31	-0.08192922613433495
1103	32-33	0.022974232114847837
1103	34-35	0.015873742850367023
1103	36-37	-0.009577905905885586
1103	38-39	0.023562565484034792
1103	40-41	-0.0622576360213003
1103	42-43	-0.13065825654325636
1103	44-45	-0.1473803066299766
1103	46-47	-0.1965742080191859
1103	48-49	-0.09850040406978877
1103	50-51	-0.10254133535003263
1103	52-53	-0.24670852521636988
1103	54-55	-0.22745577427919272
1103	56-57	-0.08062250889381062
1103	58-59	-0.07598624082712746
1103	60-61	-0.04908813430925818
1103	62-63	-0.09789672708081554
1103	64-65	-0.15455915302938905
1103	66-67	-0.11331794760211267
1103	68-69	-0.15262351819249886
1103	70-71	-0.07370219021568403
1103	72-73	-0.03316128076397007
1103	74-75	-0.04645676639383822
1103	76-77	-0.0776955652554463
1103	78-79	-0.023442961835449694
1103	80-81	-0.06265896615067845
1103	82-83	0.016156810683455092
1103	84-85	-0.0056328251188304534
1103	86-87	-0.021173964571922
1103	88-89	-0.16091797573304945
1103	90-91	-0.04058040373177363
1103	92-93	-0.082739106351859
1103	94-95	-0.012567187867603025
1103	96-97	-0.02309483272168933
1103	98-99	-0.07172404821731959
1103	100	0.024292909388499595
1104	1	0.039085896636777306
1104	2	0.0044466102408122765
1104	3	-0.10801188642630422
1104	4	-0.06089363277384052
1104	5	-0.001368142310660403
1104	6	-0.0183046764662933
1104	7	-0.07501095200466068
1104	8	-0.04108776944428172
1104	9	0.012875306229403805
1104	10-11	-0.02863556693669267
1104	12-13	0.020943820866172302
1104	14-15	0.01978897174767269
1104	16-17	-0.15073922927459904
1104	18-19	-0.006844369751838997
1104	20-21	-0.07092353231494997
1104	22-23	-0.10831003943800965
1104	24-25	-0.05475930059500911
1104	26-27	-0.08409592794151166
1104	28-29	-0.053044747491583166
1104	30-31	-0.10063827508742662
1104	32-33	-0.024200824999837778
1104	34-35	-0.03812142118011508
1104	36-37	-0.045838816885385825
1104	38-39	0.0013554523221088743
1104	40-41	-0.004775028831680572
1104	42-43	-0.022096836038187462
1104	44-45	0.0015891434300954188
1104	46-47	0.015674006171195742
1104	48-49	0.005327316600642007
1104	50-51	-0.029534098795437558
1104	52-53	-0.07393689368280576
1104	54-55	-0.05682342722244016
1104	56-57	-0.036539813639066665
1104	58-59	-0.00200268589913577
1104	60-61	0.06842874194836668
1104	62-63	0.03441288413024779
1104	64-65	-0.05888664302471369
1104	66-67	0.020044747677488317
1104	68-69	0.05752382543947476
1104	70-71	-0.028207169810158916
1104	72-73	0.013233458030960321
1104	74-75	-0.12590146208057007
1104	76-77	-0.1133313774879312
1104	78-79	-0.10506593590645963
1104	80-81	0.14076958222629088
1104	82-83	0.09393230820661813
1104	84-85	0.09407012726887842
1104	86-87	0.09061207083465916
1104	88-89	0.20256708325675987
1104	90-91	0.14447267743680925
1104	92-93	0.11300077559654653
1104	94-95	-0.07134974732721844
1104	96-97	0.026320981063292948
1104	98-99	0.3397809824886977
1104	100	0.3337636077455599
1105	1	0.022978687609398918
1105	2	0.024729185737900394
1105	3	0.06739489348962735
1105	4	0.022326290739172805
1105	5	0.08398584864514902
1105	6	0.10276710326653671
1105	7	0.0931915260190479
1105	8	0.00418670021812062
1105	9	0.019061819399553315
1105	10-11	0.024880707924040735
