##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	219_L8_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.2300955	32.0	32.0	32.0	32.0	32.0
2	31.636043	32.0	32.0	32.0	32.0	32.0
3	35.700022	37.0	37.0	37.0	32.0	37.0
4	36.151021	37.0	37.0	37.0	32.0	37.0
5	36.4043585	37.0	37.0	37.0	37.0	37.0
6	40.4459495	42.0	42.0	42.0	37.0	42.0
7	40.560367	42.0	42.0	42.0	37.0	42.0
8	40.827052	42.0	42.0	42.0	37.0	42.0
9	40.8851695	42.0	42.0	42.0	37.0	42.0
10-11	40.8765605	42.0	42.0	42.0	37.0	42.0
12-13	40.907805999999994	42.0	42.0	42.0	37.0	42.0
14-15	40.88653375	42.0	42.0	42.0	37.0	42.0
16-17	40.843948	42.0	42.0	42.0	37.0	42.0
18-19	40.8184485	42.0	42.0	42.0	37.0	42.0
20-21	40.78243175	42.0	42.0	42.0	37.0	42.0
22-23	40.77309425	42.0	42.0	42.0	37.0	42.0
24-25	40.725107	42.0	42.0	42.0	37.0	42.0
26-27	40.6397365	42.0	42.0	42.0	37.0	42.0
28-29	40.585663249999996	42.0	42.0	42.0	37.0	42.0
30-31	40.546018000000004	42.0	42.0	42.0	37.0	42.0
32-33	40.532051499999994	42.0	42.0	42.0	37.0	42.0
34-35	40.5035445	42.0	42.0	42.0	37.0	42.0
36-37	40.45032	42.0	42.0	42.0	37.0	42.0
38-39	40.3840845	42.0	42.0	42.0	37.0	42.0
40-41	40.352461500000004	42.0	42.0	42.0	37.0	42.0
42-43	40.323991	42.0	42.0	42.0	37.0	42.0
44-45	40.26936175	42.0	42.0	42.0	37.0	42.0
46-47	40.20178425	42.0	42.0	42.0	37.0	42.0
48-49	40.1315	42.0	42.0	42.0	37.0	42.0
50-51	40.113046	42.0	42.0	42.0	37.0	42.0
52-53	40.033936499999996	42.0	42.0	42.0	37.0	42.0
54-55	39.99281675	42.0	42.0	42.0	37.0	42.0
56-57	39.92476525	42.0	42.0	42.0	37.0	42.0
58-59	39.839957749999996	42.0	42.0	42.0	37.0	42.0
60-61	39.73548975	42.0	42.0	42.0	32.0	42.0
62-63	39.6859195	42.0	42.0	42.0	32.0	42.0
64-65	39.59238725	42.0	42.0	42.0	32.0	42.0
66-67	39.44297525	42.0	39.5	42.0	32.0	42.0
68-69	39.261715	42.0	37.0	42.0	32.0	42.0
70-71	39.140262	42.0	37.0	42.0	32.0	42.0
72-73	38.96652775	42.0	37.0	42.0	32.0	42.0
74-75	38.83363675	42.0	37.0	42.0	32.0	42.0
76-77	37.468139750000006	39.5	34.5	42.0	29.5	42.0
78-79	37.82375475	42.0	37.0	42.0	29.5	42.0
80-81	38.4865985	42.0	37.0	42.0	32.0	42.0
82-83	38.39116075	42.0	37.0	42.0	32.0	42.0
84-85	38.47886075	42.0	37.0	42.0	32.0	42.0
86-87	38.41478025	42.0	37.0	42.0	32.0	42.0
88-89	38.291227	42.0	37.0	42.0	32.0	42.0
90-91	38.1591125	42.0	37.0	42.0	32.0	42.0
92-93	38.038966	42.0	37.0	42.0	32.0	42.0
94-95	38.11373725	42.0	37.0	42.0	32.0	42.0
96-97	38.0212865	42.0	37.0	42.0	29.5	42.0
98-99	37.981320249999996	42.0	37.0	42.0	29.5	42.0
100	37.9204145	42.0	37.0	42.0	27.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.09160621746232422
1101	2	0.08825414716419644
1101	3	0.09156721175318694
1101	4	0.005786248110993597
1101	5	0.02011000206402258
1101	6	-0.007548014219658228
1101	7	-0.03959683738143838
1101	8	0.0039244982425472585
1101	9	-0.007521548139813206
1101	10-11	-0.007487960918922454
1101	12-13	0.00133926444848953
1101	14-15	0.019306278301890245
1101	16-17	-0.08911241865811093
1101	18-19	-0.09569802529387061
1101	20-21	-0.12279028999222419
1101	22-23	-0.130968358562356
1101	24-25	-0.19711761487262436
1101	26-27	-0.19779391477389652
1101	28-29	-0.2202435919068293
1101	30-31	-0.34567350178524237
1101	32-33	-0.336944558040706
1101	34-35	-0.1753915741744052
1101	36-37	-0.31262533083674526
1101	38-39	-0.3719443143591761
1101	40-41	-0.49324901056691317
1101	42-43	-0.5256453692263818
1101	44-45	-0.3678471441733393
1101	46-47	-0.5313818858846915
1101	48-49	-0.4751731566563606
1101	50-51	-0.4259467322775663
1101	52-53	-0.6180066679910965
1101	54-55	-0.6153281054281123
1101	56-57	-0.6755639969498617
1101	58-59	-0.8123457942817964
1101	60-61	-0.7889803644138667
1101	62-63	-0.9274549191197181
1101	64-65	-1.1875131866971032
1101	66-67	-1.3955623120717533
1101	68-69	-1.99276526958905
1101	70-71	-2.1394367461022483
1101	72-73	-2.2455023743107105
1101	74-75	-2.130007475816825
1101	76-77	-2.435458727145665
1101	78-79	-2.5092332444802636
1101	80-81	-2.2402402059195907
1101	82-83	-2.0980258699939114
1101	84-85	-1.5392673070268472
1101	86-87	-1.7557662570497854
1101	88-89	-1.429798599096081
1101	90-91	-1.5896822078400348
1101	92-93	-1.3376898430638633
1101	94-95	-0.927469687405484
1101	96-97	-0.7387865616295528
1101	98-99	-0.9501054165402252
1101	100	-0.5169785567092191
1102	1	-0.057936454526618775
1102	2	-0.07374862117190517
1102	3	0.07289439666265451
1102	4	0.027796636924271922
1102	5	0.05376821521517172
1102	6	0.017544342326452522
1102	7	0.11130972908873815
1102	8	-0.0847148912964073
1102	9	-0.0871502302524263
1102	10-11	6.894396086210008E-5
1102	12-13	0.00930030530550141
1102	14-15	0.06021037343382574
1102	16-17	0.015879157872326743
1102	18-19	0.014322197840613171
1102	20-21	-0.036174611436834425
1102	22-23	-0.03770701122661535
1102	24-25	-0.0768019399843638
1102	26-27	-0.1627241418915446
1102	28-29	-0.048100373942695285
1102	30-31	-0.14444674210396613
1102	32-33	-0.1950019778592349
1102	34-35	-0.15746309227323252
1102	36-37	-0.08406946343701804
1102	38-39	-0.10285710849240814
1102	40-41	-0.11873399858463785
1102	42-43	-0.08049092884747466
1102	44-45	-0.166928960152525
1102	46-47	-0.1773630431914981
1102	48-49	-0.2693073022973138
1102	50-51	-0.17273826591548413
1102	52-53	-0.20306704571354572
1102	54-55	-0.288825043820907
1102	56-57	-0.289548007364111
1102	58-59	-0.4563928381070994
1102	60-61	-0.5212479783697148
1102	62-63	-0.4169632410723594
1102	64-65	-0.47663464868585237
1102	66-67	-0.6826485287572623
1102	68-69	-0.7237884627518483
1102	70-71	-0.7889516164676778
1102	72-73	-0.9250834458324846
1102	74-75	-0.9979303725482325
1102	76-77	-1.3245292244603064
1102	78-79	-1.1646710904850082
1102	80-81	-1.258960648992499
1102	82-83	-1.0486337081436332
1102	84-85	-1.0586107337988082
1102	86-87	-0.9522431130802076
1102	88-89	-0.8439069553150276
1102	90-91	-0.5847447115543716
1102	92-93	-0.5063366714626056
1102	94-95	-0.4444718336212574
1102	96-97	-0.154934747065532
1102	98-99	-0.03647202956805984
1102	100	-0.10753259362420664
1103	1	-0.12652352424448665
1103	2	-0.050917096105838056
1103	3	0.04632159249782575
