##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	222_L8_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.1436485	32.0	32.0	32.0	27.0	32.0
2	31.142375	32.0	32.0	32.0	27.0	32.0
3	35.0974495	37.0	37.0	37.0	32.0	37.0
4	35.6985195	37.0	37.0	37.0	32.0	37.0
5	35.963939	37.0	37.0	37.0	32.0	37.0
6	39.8914835	42.0	37.0	42.0	37.0	42.0
7	39.6289905	42.0	37.0	42.0	32.0	42.0
8	39.738215	42.0	42.0	42.0	32.0	42.0
9	39.8972065	42.0	42.0	42.0	37.0	42.0
10-11	39.779677	42.0	42.0	42.0	34.5	42.0
12-13	39.7966095	42.0	42.0	42.0	37.0	42.0
14-15	40.0471315	42.0	42.0	42.0	37.0	42.0
16-17	40.06790625	42.0	42.0	42.0	37.0	42.0
18-19	39.97188225	42.0	42.0	42.0	37.0	42.0
20-21	39.96071125	42.0	42.0	42.0	37.0	42.0
22-23	40.041346250000004	42.0	42.0	42.0	37.0	42.0
24-25	39.990048	42.0	42.0	42.0	37.0	42.0
26-27	40.001272	42.0	42.0	42.0	37.0	42.0
28-29	39.946141499999996	42.0	42.0	42.0	37.0	42.0
30-31	39.826464	42.0	42.0	42.0	37.0	42.0
32-33	39.77386	42.0	42.0	42.0	34.5	42.0
34-35	39.7646695	42.0	42.0	42.0	34.5	42.0
36-37	39.6963235	42.0	42.0	42.0	32.0	42.0
38-39	39.70809	42.0	42.0	42.0	34.5	42.0
40-41	39.77840500000001	42.0	42.0	42.0	34.5	42.0
42-43	39.7896725	42.0	42.0	42.0	34.5	42.0
44-45	39.6636145	42.0	42.0	42.0	32.0	42.0
46-47	39.4700475	42.0	39.5	42.0	32.0	42.0
48-49	39.36952575	42.0	37.0	42.0	32.0	42.0
50-51	39.45840775	42.0	37.0	42.0	32.0	42.0
52-53	39.402292	42.0	37.0	42.0	32.0	42.0
54-55	39.356477	42.0	37.0	42.0	32.0	42.0
56-57	39.217577000000006	42.0	37.0	42.0	32.0	42.0
58-59	39.25555525	42.0	37.0	42.0	32.0	42.0
60-61	39.18739075	42.0	37.0	42.0	32.0	42.0
62-63	39.07260925	42.0	37.0	42.0	32.0	42.0
64-65	39.139734000000004	42.0	37.0	42.0	32.0	42.0
66-67	39.09127875	42.0	37.0	42.0	32.0	42.0
68-69	39.12487375	42.0	37.0	42.0	32.0	42.0
70-71	38.957705000000004	42.0	37.0	42.0	32.0	42.0
72-73	38.93469025	42.0	37.0	42.0	32.0	42.0
74-75	38.9007045	42.0	37.0	42.0	32.0	42.0
76-77	38.12836525	42.0	37.0	42.0	32.0	42.0
78-79	38.38010475	42.0	37.0	42.0	32.0	42.0
80-81	38.926668	42.0	37.0	42.0	32.0	42.0
82-83	38.890200500000006	42.0	37.0	42.0	32.0	42.0
84-85	38.86076075	42.0	37.0	42.0	32.0	42.0
86-87	38.95977825	42.0	37.0	42.0	32.0	42.0
88-89	38.73656675	42.0	37.0	42.0	32.0	42.0
90-91	38.46749375	42.0	37.0	42.0	32.0	42.0
92-93	38.381412999999995	42.0	37.0	42.0	32.0	42.0
94-95	38.39566225	42.0	37.0	42.0	32.0	42.0
96-97	38.39742875	42.0	37.0	42.0	32.0	42.0
98-99	38.3808225	42.0	37.0	42.0	32.0	42.0
100	38.192501	42.0	37.0	42.0	32.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1810993927641391
1101	2	-0.13161944712453533
1101	3	-0.07041968927786968
1101	4	-0.33364750880045335
1101	5	-0.1600673707519391
1101	6	-0.19106269922782104
1101	7	0.023203099553064988
1101	8	-0.23675794612558576
1101	9	-0.16176021067292368
1101	10-11	-0.25999973759978445
1101	12-13	-0.2689442719681523
1101	14-15	-0.17290870822176174
1101	16-17	-0.197777949387266
1101	18-19	-0.20274538302093248
1101	20-21	-0.3679633742274433
1101	22-23	-0.33233527948285513
1101	24-25	-0.16592867009423884
1101	26-27	-0.034647609804643764
1101	28-29	-0.09540310373894556
1101	30-31	-0.038273921804425015
1101	32-33	0.012690068366545404
1101	34-35	-0.21729119963610088
1101	36-37	0.0419448252934842
1101	38-39	-0.013513984486735353
1101	40-41	-0.2331399376536325
1101	42-43	-0.1584506615299759
1101	44-45	-0.040237247361083917
1101	46-47	0.05585705891982684
1101	48-49	-0.2822250788441778
1101	50-51	-0.06791766097602903
1101	52-53	-0.18597969085121946
1101	54-55	-0.08555504502335509
1101	56-57	-0.13234267302964042
1101	58-59	0.012888933029671534
1101	60-61	0.016610027880638256
1101	62-63	-0.03719780998630284
1101	64-65	-0.08390141622575698
1101	66-67	-0.09651656835278999
1101	68-69	-0.19025178631748219
1101	70-71	-0.08337663349056612
1101	72-73	-0.06067723466698283
1101	74-75	0.004179829930130552
1101	76-77	-0.17693322259383137
1101	78-79	-0.13899477668687155
1101	80-81	-0.21059330091136275
1101	82-83	-0.10879620335211371
1101	84-85	-0.16231170157934827
1101	86-87	-0.09417668783009248
1101	88-89	-0.1857868037849144
1101	90-91	-0.40343257463527493
1101	92-93	-0.26904649807723047
1101	94-95	-0.20459743997952984
1101	96-97	-0.25211348127421473
1101	98-99	-0.37954263624413187
1101	100	-0.14289286087441866
1102	1	-0.2480536755279985
1102	2	-0.17383376614096235
1102	3	-0.14260295507501297
1102	4	-0.15498909037535213
1102	5	-0.1460985784219062
1102	6	-0.2273182560944491
1102	7	0.012837636642331063
1102	8	-0.27111842440464073
1102	9	-0.28602746933655254
1102	10-11	-0.1925399583299381
1102	12-13	-0.12319323038542507
1102	14-15	-0.24287831093817402
1102	16-17	-0.06626631858002696
1102	18-19	-0.33717403904105225
1102	20-21	-0.3552334549734866
1102	22-23	-0.3710574303955596
1102	24-25	-0.26219613812966713
1102	26-27	-0.2876176974578044
1102	28-29	-0.31575139240629824
1102	30-31	-0.2555697111528872
1102	32-33	-0.2621819162478687
1102	34-35	-0.3629528744761856
1102	36-37	-0.20626106464938232
1102	38-39	-0.24472916113609955
1102	40-41	-0.2903791714343882
1102	42-43	-0.09707705422416524
1102	44-45	-0.15964674454259864
1102	46-47	-0.18047846334409456
1102	48-49	-0.10891142717936475
1102	50-51	-0.09898700884883027
1102	52-53	-0.1889979843823255
1102	54-55	-0.08539975494388585
1102	56-57	-0.02952855897213169
1102	58-59	-0.15433644815651348
1102	60-61	-0.22689575898318992
1102	62-63	-0.1877594564304772
1102	64-65	-0.08857363903955218
1102	66-67	-0.08075348609293798
1102	68-69	-0.17344906995222686
1102	70-71	-0.15797984635236872
1102	72-73	-0.2542616378830047
1102	74-75	-0.07414680734293455
1102	76-77	-0.050555427852060575
1102	78-79	-0.12394147201804628
1102	80-81	0.03439487665702501
1102	82-83	-4.399422479792747E-4
1102	84-85	0.029449572120682888
1102	86-87	0.11068573235440482
1102	88-89	0.01680838123931494
1102	90-91	-0.03114181692521356
1102	92-93	0.013793096743974331
1102	94-95	0.0252175777583048
1102	96-97	-0.21684851322918774
1102	98-99	0.08893284806904944
1102	100	-0.09877333044283887
1103	1	0.17919794593426275
1103	2	-0.004842389372093692
1103	3	0.024770030380963703
1103	4	-0.028640942773151323
1103	5	-0.13814112952253055
1103	6	-0.12160690094507487
1103	7	-0.03092771811395778
1103	8	-0.188084815914074
1103	9	-0.007694258841269175
1103	10-11	-0.1326011316789959
1103	12-13	-0.19735823873841696
1103	14-15	-0.10247380523848904
1103	16-17	-0.21710345989291824
1103	18-19	-0.05998967141133704
1103	20-21	-0.11185411879031193
1103	22-23	-0.08578233458187867
1103	24-25	-0.25230613960372494
1103	26-27	-0.21047048833830928
1103	28-29	-0.2149698353111802
1103	30-31	-0.09409817272914722
1103	32-33	0.006987882789083244
1103	34-35	0.013048255633883343
1103	36-37	-0.09933084894576183
1103	38-39	-0.0961503973782385
1103	40-41	-0.21832513497606243
1103	42-43	-0.17261385650404293
1103	44-45	-0.09432883966838546
1103	46-47	-0.2180472526522692
1103	48-49	-0.17982429815027956
1103	50-51	-0.257940060145998
1103	52-53	-0.18454909729506852
1103	54-55	-0.11620323863098747
1103	56-57	-0.15168946453424326
1103	58-59	-0.09116360273591795
1103	60-61	-0.2006412753943536
1103	62-63	-0.062018435891957324
1103	64-65	-0.19069597345387024
1103	66-67	-0.07738066032642621
1103	68-69	-0.16900478929185425
1103	70-71	-0.1646345977281598
1103	72-73	-0.22897020460863615
1103	74-75	-0.15315439873445058
1103	76-77	-0.1469903605368188
1103	78-79	-0.16791043084273127
1103	80-81	-0.1927833490701758
1103	82-83	-0.23652054857659266
1103	84-85	-0.12901826887774348
1103	86-87	-0.22203525329810958
1103	88-89	-0.43784840924811164
1103	90-91	-0.20658587647709226
1103	92-93	-0.10961000860194048
1103	94-95	-0.02046497186826457
1103	96-97	-0.16110337761598004
1103	98-99	-0.295506334812238
1103	100	-0.11698714235321717
1104	1	0.14952773831674548
1104	2	0.037588964343299835
1104	3	0.06195769766385695
1104	4	0.03595198987486725
1104	5	0.09817742534003315
1104	6	0.13029462895421062
1104	7	0.06012536074708663
1104	8	0.036293591988524554
1104	9	-0.010945664406577293
1104	10-11	0.018502682526509773
1104	12-13	0.0850680663404404
1104	14-15	0.06104328445938023
1104	16-17	0.0040551511300179754
1104	18-19	0.023080682520358664
1104	20-21	0.09764319709736213
1104	22-23	0.021313859109916677
1104	24-25	0.006060363398027846
1104	26-27	0.08764403897470885
1104	28-29	0.05761013077319177
1104	30-31	0.04894310704721505
1104	32-33	0.1317617737035235
1104	34-35	0.05930810198260161
1104	36-37	0.10253563421546374
1104	38-39	0.04975831051315538
1104	40-41	0.09900949129840342
1104	42-43	0.049712632235873855
1104	44-45	0.031798841526217814
1104	46-47	0.1081889290029423
1104	48-49	0.13764480606151608
1104	50-51	-0.08798726698856996
1104	52-53	0.06112317276487289
1104	54-55	0.07164345515884918
1104	56-57	0.07199307085970474
1104	58-59	0.03189976227223923
1104	60-61	-0.007683899658303517
1104	62-63	0.012872815640825763
1104	64-65	0.004880566054467295
1104	66-67	0.0057557411696294025
1104	68-69	0.019784806179217185
1104	70-71	0.1164442777106629
1104	72-73	0.04758535606914904
1104	74-75	0.006222264368709318
1104	76-77	0.12723539686565033
1104	78-79	0.09877692735584276
1104	80-81	-0.002749426628746221
1104	82-83	0.03400139543732905
1104	84-85	0.09803624706002978
